date,Month Day,Week day,Hour,Minute,DLR Open,DCA Open,DLR Close,DCA Close,Wait Ride 0,Open Ride 0,Wait Ride 1,Open Ride 1,Wait Ride 2,Open Ride 2,Wait Ride 3,Open Ride 3,Wait Ride 4,Open Ride 4
2018-11-01,15,5,20,15,8,8,0,21,31,1,17,1,45,1,65,1,5,1
2018-11-01,15,5,20,30,8,8,0,21,48,1,19,1,49,1,61,1,5,1
2018-11-01,15,5,20,45,8,8,0,21,34,1,15,1,40,1,58,1,5,1
2018-11-01,15,5,21,0,8,8,0,21,39,1,16,1,37,1,57,1,5,1
2018-11-01,15,5,21,15,8,8,0,21,31,1,13,1,39,1,63,1,5,1
2018-11-01,15,5,21,30,8,8,0,21,48,1,10,1,36,1,61,1,5,1
2018-11-01,15,5,21,45,8,8,0,21,14,1,15,1,27,1,55,1,5,1
2018-11-01,15,5,22,0,8,8,0,21,13,1,5,1,49,1,51,1,5,1
2018-11-01,15,5,22,15,8,8,0,21,12,1,7,1,49,1,55,1,5,1
2018-11-01,15,5,22,30,8,8,0,21,11,1,8,1,40,1,59,1,5,1
2018-11-01,15,5,22,45,8,8,0,21,10,1,9,1,30,1,55,1,5,1
2018-11-01,15,5,23,0,8,8,0,21,10,1,10,1,20,1,49,1,5,1
2018-11-01,15,5,23,15,8,8,0,21,8,1,8,1,13,1,43,1,5,1
2018-11-01,15,5,23,30,8,8,0,21,5,1,7,1,13,1,20,1,5,1
2018-11-01,15,5,23,45,8,8,0,21,5,1,5,1,13,1,20,1,5,1
2018-11-01,16,6,8,0,8,8,0,22,5,1,5,1,5,1,10,1,5,1
2018-11-01,16,6,8,15,8,8,0,22,9,1,6,1,7,1,22,1,24,1
2018-11-01,16,6,8,30,8,8,0,22,7,1,7,1,9,1,17,1,18,1
2018-11-01,16,6,8,45,8,8,0,22,8,1,8,1,12,1,21,1,25,1
2018-11-01,16,6,9,0,8,8,0,22,9,1,10,1,9,1,24,1,32,1
2018-11-01,16,6,9,15,8,8,0,22,9,1,6,1,7,1,22,1,24,1
2018-11-01,16,6,9,30,8,8,0,22,7,1,7,1,9,1,39,1,18,1
2018-11-01,16,6,9,45,8,8,0,22,8,1,8,1,12,1,41,1,25,1
2018-11-01,16,6,10,0,8,8,0,22,9,1,10,1,14,1,34,1,32,1
2018-11-01,16,6,10,15,8,8,0,22,9,1,6,1,17,1,27,1,24,1
2018-11-01,16,6,10,30,8,8,0,22,11,1,7,1,24,1,28,1,18,1
2018-11-01,16,6,10,45,8,8,0,22,13,1,8,1,27,1,33,1,25,1
2018-11-01,16,6,11,0,8,8,0,22,14,1,10,1,30,1,44,1,32,1
2018-11-01,16,6,11,15,8,8,0,22,18,1,13,1,31,1,57,1,24,1
2018-11-01,16,6,11,30,8,8,0,22,22,1,13,1,33,1,49,1,44,1
2018-11-01,16,6,11,45,8,8,0,22,27,1,11,1,34,1,34,1,38,1
2018-11-01,16,6,12,0,8,8,0,22,27,1,8,1,35,1,33,1,30,1
2018-11-01,16,6,12,15,8,8,0,22,20,1,5,1,38,1,37,1,30,1
2018-11-01,16,6,12,30,8,8,0,22,16,1,13,1,41,1,41,1,30,1
2018-11-01,16,6,12,45,8,8,0,22,20,1,11,1,43,1,45,1,30,1
