year,month,date,dlr_open,dca_open,dlr_close,dca_close,weather_daily_tempHigh,weather_daily_tempLow,weather_daily_precip,parkPopulation
2018,11,14,8,8,23,20,79.89,57.62,0,269
2018,11,15,8,8,0,21,80.35,55.93,0,320
2018,11,16,8,8,0,22,75.98,54.79,0,309
2018,11,17,8,8,0,22,71.7,55.49,0,367
2018,11,18,8,8,0,22,74.53,55.62,0,356
2018,11,19,8,8,0,22,72,54.31,0,413
2018,11,20,8,8,0,22,72.67,53.69,0,351
2018,11,21,8,8,0,22,70.67,57.83,0,279
2018,11,22,8,8,0,22,66.69,55.5,1,350
2018,11,23,8,8,0,22,67.32,56.28,0,368
2018,11,24,8,8,0,22,68.39,54.85,0,303
2018,11,25,8,8,0,22,74.75,59.54,0,201
2018,11,26,9,9,23,20,77.76,56.5,0,342
2018,11,27,9,9,23,20,74.88,54.42,0,292
2018,11,28,9,9,23,20,67.56,58.1,0,275
2018,11,29,9,9,21,21,61.98,54.26,1,215
2018,11,30,8,8,0,22,65.04,50.87,0.59,336
2018,12,1,8,8,0,22,63.99,50.02,0,283
2018,12,2,8,8,0,22,63.31,49.73,0,228
2018,12,3,8,8,0,22,67.49,52.91,0,248
2018,12,4,8,8,0,22,70.8,52.15,0,241
2018,12,5,8,8,0,22,56.78,54.17,1,157
2018,12,6,8,8,0,21,56.85,53.13,1,151
2018,12,7,8,8,0,22,68.63,51.98,0.14,315
2018,12,8,8,8,0,22,71.27,54.03,0,387
2018,12,9,8,8,0,22,72.11,56.73,0,316
2018,12,10,8,8,0,22,66.33,53.49,0,362
2018,12,11,8,8,0,22,68.87,51.97,0,290
2018,12,12,8,8,0,22,65.8,51.19,0,175
2018,12,13,8,8,0,22,77.08,56.64,0,205
2018,12,14,8,8,0,22,67.6,53.18,0,234
2018,12,15,8,8,0,22,73.64,49.88,0,418
2018,12,16,8,8,0,22,70.95,55.36,0,233
2018,12,17,8,8,0,22,65.4,55.03,0,276
2018,12,18,8,8,0,22,67.36,52.14,0,253
2018,12,19,8,8,0,22,74.92,51.95,0,269
2018,12,20,8,8,0,22,77.63,56.08,0,295
2018,12,21,8,8,0,22,69.29,52.28,0,274
2018,12,22,8,8,0,22,69.86,51.94,0,413
2018,12,23,8,8,0,22,65.82,52.53,0,384
2018,12,24,8,8,0,22,65.91,55.45,0,468
2018,12,25,8,8,0,22,64.09,48.17,0.46,464
2018,12,26,8,8,0,22,64.59,49.91,0,435
2018,12,27,8,8,0,23,63.43,50.57,0,687
2018,12,28,8,8,0,22,59.62,47.21,0,674
2018,12,29,8,8,0,22,62.54,44.96,0,572
2018,12,30,8,8,0,22,63.22,50.08,0,417
2018,12,31,8,8,2,1,60.11,47.38,0,78
2019,1,1,9,9,23,21,58.72,44.13,0,317
2019,1,2,9,9,0,21,62.36,45.14,0,470
2019,1,3,9,9,0,21,66.84,44.56,0,557
2019,1,4,9,9,23,21,65.53,50.15,0,362
2019,1,5,9,9,23,21,58,49.04,1,223
2019,1,6,8,8,0,22,59.83,51.84,0.99,276
2019,1,7,8,8,23,22,61.78,51.96,0.48,351
2019,1,8,9,9,23,21,72.13,50.64,0,329
2019,1,9,9,9,21,21,67.25,50.75,0,308
2019,1,10,9,9,21,20,64.65,51.34,0,337
2019,1,11,9,9,0,22,64.34,51.94,0,272
2019,1,12,8,8,23,21,59.26,47.76,1,310
2019,1,13,8,8,23,22,61.41,54,0,247
2019,1,14,9,9,20,20,58,52.63,1,125
2019,1,15,9,9,20,20,59.78,53.55,1,121
2019,1,16,9,9,20,20,60.77,59.28,1,122
2019,1,17,9,9,20,20,61.79,55.03,1,135
2019,1,18,8,8,23,22,64.09,53.39,0,294
2019,1,19,8,8,23,22,77.46,56.42,0,357
2019,1,20,8,8,23,22,73.83,52.77,0,356
2019,1,21,9,9,21,21,62.78,50.23,0,246
2019,1,22,10,10,20,20,65.94,48.75,0,270
2019,1,23,10,10,20,20,68.27,50.6,0,241
2019,1,24,10,10,20,20,76.02,57.22,0,251
2019,1,25,9,9,0,22,76.91,63.97,0,241
2019,1,26,8,8,0,22,78.4,56.95,0,279
2019,1,27,9,9,23,22,76.63,53.86,0,266
2019,1,28,10,10,20,20,74.41,57.84,0,360
2019,1,29,10,10,20,20,69.94,55.51,0,269
2019,1,30,10,10,20,20,67.12,54.75,0,237
2019,1,31,10,10,20,20,59.28,49.8,1,173
2019,2,1,9,9,0,22,62.49,55.5,0,312
2019,2,2,8,8,0,22,59.53,51.22,1,137
2019,2,3,8,8,23,22,56.6,52.38,0.65,195
2019,2,4,9,9,20,20,56.66,48.52,0.85,140
2019,2,5,9,9,20,20,54.24,39.64,1,161
2019,2,6,9,9,20,20,56.22,41.36,0,236
2019,2,7,9,9,20,20,61.36,44.08,0,285
2019,2,8,9,9,0,22,61.51,46.61,0,265
2019,2,9,8,8,0,22,58.63,47.42,0.84,300
2019,2,10,8,8,0,22,54.79,40.62,0.9,174
2019,2,11,8,8,23,22,60.26,46.16,0,305
2019,2,12,9,9,21,20,67.82,54.16,0,248
2019,2,13,9,9,21,20,60.75,52.98,0.87,121
2019,2,14,9,9,0,22,61.58,49.96,1,197
2019,2,15,9,9,23,22,59.09,46.21,0.95,215
2019,2,16,9,9,0,22,59.92,44.26,0.61,448
2019,2,17,9,9,23,22,55.35,40.57,0.28,321
2019,2,18,9,9,23,22,56.7,40.88,0,345
2019,2,19,9,9,23,21,57.94,41.57,0,397
2019,2,20,9,9,22,21,54.1,45.39,0.89,289
2019,2,21,8,8,23,21,54.39,39.83,0.55,331
2019,2,22,8,8,0,22,59.21,42.03,0,358
2019,2,23,8,8,0,22,61.77,46.04,0,395
2019,2,24,8,8,23,22,66.73,48.69,0,290
2019,2,25,9,9,21,20,67.09,48.52,0,282
